Card Name,Quantity,ID #,Rarity,Set,Collector #,Premium,Sideboarded,Match Wins,Match Losses,Game Wins,Game Losses,Date
Goblin Guide,1,34374,Rare,ZEN,126/249,No,No,2,1,4,3,2018-09-05
Arc Trail,1,38151,Uncommon,SOM,81/249,No,No,,,,,
Falkenrath Gorger,1,59776,Rare,SOI,155/297,No,No,,,,,
Burst Lightning,1,57148,Common,MM2,109/249,No,No,,,,,
Hellrider,1,43185,Rare,DKA,93/158,No,No,,,,,
Mountain,14,53480,Basic Land,M15,263/269,No,No,,,,,
Lightning Helix,1,23154,Uncommon,RAV,213/306,No,No,,,,,
Goblin Rabblemaster,1,53500,Rare,M15,145/269,No,No,,,,,
Lightning Mauler,1,44201,Uncommon,AVR,144/244,No,No,,,,,
Rift Bolt,1,48844,Common,MMA,126/229,No,No,,,,,
"Chandra, Torch of Defiance",1,61573,Mythic Rare,KLD,110/264,No,No,,,,,
Grim Lavamancer,1,41611,Rare,M12,145/249,No,No,,,,,
Mutavault,1,29074,Rare,MOR,148/150,No,No,,,,,
Rampaging Ferocidon,1,65324,Rare,XLN,154/279,No,No,,,,,
Scrapheap Scrounger,1,62087,Rare,KLD,231/264,No,No,,,,,
Staggershock,1,36556,Common,ROE,166/248,No,No,,,,,
Porcelain Legionnaire,1,39834,Common,NPH,19/175,No,No,,,,,
Abrade,1,64650,Uncommon,HOU,83/199,No,No,,,,,
Collective Defiance,1,61424,Rare,EMN,123/205,No,No,,,,,
Kiln Fiend,1,36668,Common,ROE,153/248,No,No,,,,,
Boros Reckoner,1,47921,Rare,GTC,215/249,No,No,,,,,
Flametongue Kavu,1,54901,Uncommon,C14,176/337,No,No,,,,,
Wooded Foothills,1,54200,Rare,KTK,249/269,No,No,,,,,
Glorybringer,1,63870,Rare,AKH,134/269,No,No,,,,,
"Sarkhan, the Dragonspeaker",1,54246,Mythic Rare,KTK,119/269,No,No,,,,,
Jackal Pup,1,39264,Uncommon,PD2,2/34,No,No,,,,,
Plateau,1,53081,Rare,VMA,308/325,No,No,,,,,
,,,,,,,,,,,,
"Linvala, Keeper of Silence",1,36656,Mythic Rare,ROE,33/248,No,Yes,,,,,
Manic Vandal,1,41329,Common,M12,151/249,No,Yes,,,,,
Olivia Voldaren,1,42764,Mythic Rare,ISD,215/264,No,Yes,,,,,
Abrupt Decay,1,46497,Rare,RTR,141/274,No,Yes,,,,,
Precinct Captain,1,46725,Rare,RTR,17/274,No,Yes,,,,,
"Xenagos, God of Revels",1,51745,Mythic Rare,BNG,156/165,No,Yes,,,,,
Banishing Light,1,52214,Uncommon,JOU,5/165,No,Yes,,,,,
Spectral Procession,1,54731,Uncommon,C14,90/337,No,Yes,,,,,
Stratus Dancer,1,56178,Rare,DTK,80/264,No,Yes,,,,,
Legacy's Allure,1,56732,Rare,TPR,56/269,No,Yes,,,,,
Profane Command,1,57042,Rare,MM2,90/249,No,Yes,,,,,
Dismember,1,57330,Uncommon,MM2,79/249,No,Yes,,,,,
"Drana, Liberator of Malakir",1,58405,Mythic Rare,BFZ,109/274,No,Yes,,,,,
Bedlam Reveler,1,61224,Rare,EMN,118/205,No,Yes,,,,,
Lingering Souls,1,63357,Uncommon,MM3,12/249,No,Yes,,,,,
Scrubland,1,53087,Rare,VMA,313/325,No,Yes,,,,,
Verdant Catacombs,1,34704,Rare,ZEN,229/249,No,Yes,,,,,
Dismissive Pyromancer,1,68433,Rare,M19,136/280,No,Yes,,,,,
Heroic Reinforcements,1,68595,Uncommon,M19,217/280,No,Yes,,,,,
