Card Name,Quantity,ID #,Rarity,Set,Collector #,Premium,Sideboarded,Match Wins,Match Loss,Game Wins,Game Loss,Date
Demanding Dragon,1,68431,Rare,M19,135/280,No,No,3,0,6,2,7/9/2018
Fiery Finish,2,68441,Uncommon,M19,140/280,No,No,,,,,
Sparktongue Dragon,2,68479,Common,M19,159/280,No,No,,,,,
Scholar of Stars,1,68303,Common,M19,71/280,No,No,,,,,
Sift,1,68305,Uncommon,M19,72/280,No,No,,,,,
Dwindle,3,68267,Common,M19,53/280,No,No,,,,,
Tolarian Scholar,1,68321,Common,M19,80/280,No,No,,,,,
Explosive Apparatus,3,68629,Common,M19,233/280,No,No,,,,,
Siegebreaker Giant,1,68475,Uncommon,M19,157/280,No,No,,,,,
Manalith,1,68641,Common,M19,239/280,No,No,,,,,
Volcanic Dragon,1,68496,Uncommon,M19,167/280,Yes,No,,,,,
Draconic Disciple,1,68591,Uncommon,M19,215/280,No,No,,,,,
Omenspeaker,1,68289,Common,M19,64/280,No,No,,,,,
Havoc Devils,1,68453,Common,M19,146/280,No,No,,,,,
Bone to Ash,1,68255,Uncommon,M19,47/280,No,No,,,,,
Dragon Egg,1,68437,Uncommon,M19,138/280,No,No,,,,,
Disperse,1,68261,Common,M19,50/280,No,No,,,,,
Island,6,68699,Basic Land,M19,268/280,No,No,,,,,
Mountain,9,68715,Basic Land,M19,276/280,No,No,,,,,
Forest,2,68723,Basic Land,M19,280/280,No,No,,,,,
,,,,,,,,,,,,
Knight of the Tusk,1,68197,Common,M19,18/280,No,Yes,,,,,
Rustwing Falcon,1,68233,Common,M19,36/280,No,Yes,,,,,
Star-Crowned Stag,1,68237,Common,M19,38/280,No,Yes,,,,,
Suncleanser,1,68239,Rare,M19,39/280,No,Yes,,,,,
Mirror Image,1,68283,Uncommon,M19,61/280,No,Yes,,,,,
Tolarian Scholar,1,68321,Common,M19,80/280,No,Yes,,,,,
Totally Lost,1,68323,Common,M19,81/280,No,Yes,,,,,
Uncomfortable Chill,1,68325,Common,M19,82/280,No,Yes,,,,,
Sovereign's Bite,1,68401,Common,M19,120/280,No,Yes,,,,,
Vampire Neonate,1,68409,Common,M19,124/280,No,Yes,,,,,
Walking Corpse,2,68413,Common,M19,126/280,No,Yes,,,,,
Act of Treason,1,68415,Common,M19,127/280,No,Yes,,,,,
Catalyst Elemental,2,68425,Common,M19,132/280,No,Yes,,,,,
Doublecast,1,68435,Uncommon,M19,137/280,No,Yes,,,,,
Fire Elemental,1,68443,Common,M19,141/280,No,Yes,,,,,
Smelt,1,68477,Common,M19,158/280,No,Yes,,,,,
Amulet of Safekeeping,1,68615,Rare,M19,226/280,No,Yes,,,,,
Field Creeper,1,68631,Common,M19,234/280,No,Yes,,,,,
Gearsmith Guardian,1,68637,Common,M19,237/280,No,Yes,,,,,
Mountain,1,68715,Basic Land,M19,276/280,No,Yes,,,,,
