Card Name,Quantity,ID #,Rarity,Set,Collector #,Premium,Sideboarded,Match Wins,Match Losses,Game Wins,Game Losses,Date
Hymn to Tourach,1,60783,Uncommon,EMA,92/249,No,No,1,2,2,6,08/15/18
Mana Leak,1,41289,Common,M12,63/249,No,No,,,,,
Breeding Pool,1,47475,Rare,GTC,240/249,No,No,,,,,
Polluted Delta,1,54196,Rare,KTK,239/269,No,No,,,,,
Tropical Island,1,53093,Rare,VMA,321/325,No,No,,,,,
Inquisition of Kozilek,1,36360,Uncommon,ROE,115/248,No,No,,,,,
Abrupt Decay,1,46497,Rare,RTR,141/274,No,No,,,,,
Force Spike,1,15530,Common,7E,76/350,No,No,,,,,
Meloku the Clouded Mirror,1,21121,Rare,CHK,74/306,No,No,,,,,
Windswept Heath,1,54202,Rare,KTK,248/269,No,No,,,,,
Preordain,1,37388,Common,M11,70/249,No,No,,,,,
Compulsion,1,17163,Uncommon,TOR,34/143,No,No,,,,,
Sudden Death,1,25743,Uncommon,TSP,134/301,No,No,,,,,
Creeping Tar Pit,1,35657,Rare,WWK,134/145,No,No,,,,,
Snapcaster Mage,1,42512,Rare,ISD,78/264,No,No,,,,,
Overgrown Tomb,1,46507,Rare,RTR,243/274,No,No,,,,,
Underground River,1,27438,Rare,10E,362/383,No,No,,,,,
Essence Extraction,1,61695,Uncommon,KLD,80/264,No,No,,,,,
Capsize,1,56530,Uncommon,TPR,42/269,No,No,,,,,
Hypnotic Specter,1,33069,Rare,M10,100/249,No,No,,,,,
"Thassa, God of the Sea",1,50306,Mythic Rare,THS,66/249,No,No,,,,,
Pernicious Deed,1,67338,Rare,A25,212/249,No,No,,,,,
Dark Confidant,1,23084,Rare,RAV,81/306,No,No,,,,,
Relentless Dead,1,60018,Mythic Rare,SOI,131/297,No,No,,,,,
Vendilion Clique,1,28946,Rare,MOR,55/150,No,No,,,,,
"Liliana, the Last Hope",1,61152,Mythic Rare,EMN,93/205,No,No,,,,,
Remand,1,23174,Uncommon,RAV,63/306,No,No,,,,,
Rogue Refiner,1,62827,Uncommon,AER,135/184,No,No,,,,,
Duress,1,65226,Common,XLN,105/279,No,No,,,,,
Tarmogoyf,1,26844,Rare,FUT,153/180,No,No,,,,,
Island,3,61833,Basic Land,KLD,254/264,No,No,,,,,
Swamp,6,61847,Basic Land,KLD,256/264,No,No,,,,,
Forest,1,61829,Basic Land,KLD,263/264,No,No,,,,,
,,,,,,,,,,,,
Crypt Angel,1,14499,Rare,IN,97/350,No,Yes,,,,,
Phyrexian Scuta,1,15205,Rare,PS,51/143,No,Yes,,,,,
Cognivore,1,16865,Rare,OD,77/350,No,Yes,,,,,
Gempalm Incinerator,1,18511,Uncommon,LGN,94/145,No,Yes,,,,,
Dryad Sophisticate,1,23655,Uncommon,GPT,83/165,No,Yes,,,,,
Skeletal Vampire,1,23715,Rare,GPT,62/165,No,Yes,,,,,
Rakdos Guildmage,1,24063,Uncommon,DIS,145/180,No,Yes,,,,,
Mirari,1,26167,Rare,TSB,112/121,No,Yes,,,,,
Knight of Infamy,1,45548,Uncommon,M13,96/249,No,Yes,,,,,
"Polukranos, World Eater",1,50628,Mythic Rare,THS,172/249,No,Yes,,,,,
Blazing Specter,1,52863,Uncommon,VMA,245/325,No,Yes,,,,,
Become Immense,1,54400,Uncommon,KTK,130/269,No,Yes,,,,,
Necropotence,1,66075,Mythic Rare,IMA,98/249,No,Yes,,,,,
Jackal Pup,1,67192,Common,A25,139/249,No,Yes,,,,,
Mishra's Factory,1,67398,Uncommon,A25,242/249,No,Yes,,,,,
